epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,4257.19,0.85016,0.54243,1.06493,0.94172,0.91389,0.96119,0.76338,0.93228,0.43035,1.04213,0.000721645,0.000721645,0.000721645
102,4299.5,0.86709,0.54612,1.07037,0.93495,0.93239,0.96204,0.76441,0.93395,0.42733,1.03649,0.000714571,0.000714571,0.000714571
103,4341.31,0.8643,0.53897,1.0641,0.93827,0.9283,0.96251,0.76458,0.93164,0.42815,1.03901,0.000707498,0.000707498,0.000707498
104,4383.32,0.86789,0.54265,1.06341,0.94423,0.92681,0.96057,0.76977,0.92139,0.42142,1.02961,0.000700424,0.000700424,0.000700424
105,4425.26,0.86291,0.54129,1.06089,0.93465,0.93618,0.96185,0.76497,0.93462,0.43181,1.0432,0.000693351,0.000693351,0.000693351
106,4467.2,0.8397,0.52961,1.05613,0.927,0.9347,0.96221,0.76807,0.93053,0.42159,1.0448,0.000686277,0.000686277,0.000686277
107,4509.34,0.84115,0.52629,1.05185,0.95088,0.90208,0.96118,0.76763,0.93385,0.42748,1.03697,0.000679204,0.000679204,0.000679204
108,4551.61,0.85175,0.52589,1.05497,0.94633,0.91331,0.96156,0.76416,0.93294,0.42016,1.04498,0.00067213,0.00067213,0.00067213
109,4593.67,0.83324,0.50972,1.0558,0.94028,0.92304,0.96173,0.77305,0.92711,0.42059,1.04011,0.000665057,0.000665057,0.000665057
110,4635.73,0.85377,0.53022,1.05942,0.94425,0.91982,0.95921,0.76574,0.9354,0.42828,1.0458,0.000657983,0.000657983,0.000657983
111,4677.67,0.83286,0.51904,1.04873,0.95555,0.90997,0.96239,0.77135,0.92211,0.42395,1.03349,0.000650909,0.000650909,0.000650909
112,4719.81,0.83528,0.51653,1.05044,0.93089,0.93587,0.96219,0.77224,0.92731,0.41713,1.03622,0.000643836,0.000643836,0.000643836
113,4762.17,0.83268,0.52328,1.05341,0.93104,0.9338,0.9575,0.76791,0.9335,0.41508,1.04213,0.000636762,0.000636762,0.000636762
114,4804.33,0.82626,0.51373,1.05041,0.95047,0.91654,0.96092,0.76625,0.92574,0.41719,1.03783,0.000629689,0.000629689,0.000629689
115,4846.37,0.82988,0.51218,1.04489,0.93461,0.9364,0.9624,0.7698,0.9265,0.42089,1.03824,0.000622615,0.000622615,0.000622615
116,4888.38,0.81492,0.49553,1.04171,0.94076,0.92955,0.96206,0.77493,0.93289,0.41546,1.03475,0.000615542,0.000615542,0.000615542
117,4930.68,0.82243,0.50653,1.04542,0.92989,0.93758,0.96417,0.77483,0.92166,0.42088,1.0385,0.000608468,0.000608468,0.000608468
118,4972.71,0.82229,0.50168,1.04718,0.93315,0.92777,0.96179,0.77446,0.91609,0.41946,1.02983,0.000601395,0.000601395,0.000601395
119,5014.45,0.82995,0.50486,1.04294,0.94244,0.92031,0.96053,0.77263,0.91286,0.41807,1.02818,0.000594321,0.000594321,0.000594321
120,5056.97,0.8351,0.50545,1.04353,0.93909,0.93168,0.96351,0.77223,0.92169,0.41727,1.03598,0.000587248,0.000587248,0.000587248
121,5098.8,0.82158,0.50422,1.04299,0.94373,0.92965,0.96317,0.77672,0.92045,0.41394,1.02967,0.000580174,0.000580174,0.000580174
122,5141.14,0.83018,0.50809,1.04561,0.92994,0.94159,0.96366,0.775,0.9257,0.41265,1.03858,0.0005731,0.0005731,0.0005731
123,5182.94,0.80212,0.48761,1.03857,0.93529,0.93557,0.96273,0.77588,0.91664,0.41009,1.03371,0.000566027,0.000566027,0.000566027
124,5225.02,0.80714,0.49844,1.04117,0.93548,0.93667,0.96408,0.77456,0.91708,0.41013,1.03584,0.000558953,0.000558953,0.000558953
125,5267.19,0.80911,0.49402,1.03822,0.94341,0.92269,0.96268,0.7749,0.91589,0.40457,1.03371,0.00055188,0.00055188,0.00055188
126,5309.33,0.80659,0.48912,1.03433,0.94925,0.9241,0.96307,0.7749,0.91459,0.41495,1.0318,0.000544806,0.000544806,0.000544806
127,5351.17,0.80303,0.49042,1.03501,0.94677,0.92578,0.96255,0.77505,0.92066,0.41695,1.0341,0.000537733,0.000537733,0.000537733
128,5392.84,0.79642,0.48503,1.02954,0.94243,0.93093,0.9645,0.77927,0.91641,0.40893,1.03369,0.000530659,0.000530659,0.000530659
129,5435.03,0.79998,0.48671,1.03305,0.95243,0.92445,0.96607,0.78109,0.9177,0.40574,1.03179,0.000523586,0.000523586,0.000523586
130,5477.26,0.7944,0.48695,1.03619,0.93834,0.93861,0.96458,0.77745,0.91347,0.40281,1.03775,0.000516512,0.000516512,0.000516512
131,5519.13,0.78377,0.47687,1.03324,0.95257,0.92301,0.96614,0.77661,0.91578,0.40662,1.04209,0.000509438,0.000509438,0.000509438
132,5560.98,0.79914,0.48702,1.03351,0.94345,0.93223,0.96493,0.77558,0.92039,0.40572,1.04257,0.000502365,0.000502365,0.000502365
133,5603.11,0.78502,0.46988,1.02908,0.93101,0.94341,0.96494,0.77893,0.91616,0.40366,1.03766,0.000495291,0.000495291,0.000495291
134,5645.25,0.77675,0.46555,1.02521,0.95328,0.92676,0.96344,0.78201,0.91215,0.40191,1.03131,0.000488218,0.000488218,0.000488218
135,5687.53,0.78187,0.47209,1.02716,0.93155,0.94558,0.96176,0.77962,0.91401,0.40295,1.03088,0.000481144,0.000481144,0.000481144
136,5730.08,0.79114,0.47903,1.02768,0.95142,0.9231,0.9611,0.77942,0.91223,0.40437,1.02772,0.000474071,0.000474071,0.000474071
137,5772.26,0.7743,0.46752,1.019,0.93207,0.94532,0.96469,0.78131,0.91263,0.40526,1.03111,0.000466997,0.000466997,0.000466997
138,5814.3,0.7692,0.46021,1.01918,0.92756,0.94433,0.96226,0.7804,0.91753,0.40359,1.03508,0.000459924,0.000459924,0.000459924
139,5856.43,0.77522,0.46891,1.02824,0.9355,0.93975,0.96323,0.7771,0.91634,0.4002,1.03529,0.00045285,0.00045285,0.00045285
140,5898.42,0.78075,0.47388,1.02573,0.94664,0.92538,0.96385,0.7817,0.91016,0.40446,1.03574,0.000445777,0.000445777,0.000445777
141,5940.47,0.77361,0.45884,1.01993,0.94212,0.9354,0.96393,0.77807,0.91438,0.40541,1.04281,0.000438703,0.000438703,0.000438703
142,5982.66,0.77006,0.46524,1.01754,0.95322,0.92333,0.96206,0.77791,0.9166,0.40611,1.04029,0.000431629,0.000431629,0.000431629
143,6024.46,0.76341,0.45808,1.01844,0.93547,0.93732,0.96223,0.77709,0.91369,0.40621,1.0336,0.000424556,0.000424556,0.000424556
144,6066.24,0.76461,0.46054,1.01605,0.94586,0.92975,0.96285,0.78192,0.91483,0.40763,1.03853,0.000417482,0.000417482,0.000417482
145,6108.51,0.76214,0.45149,1.01624,0.94107,0.93671,0.96259,0.77998,0.91855,0.40882,1.04348,0.000410409,0.000410409,0.000410409
146,6150.24,0.74976,0.44851,1.01274,0.95133,0.92449,0.96315,0.78174,0.91621,0.40373,1.03967,0.000403335,0.000403335,0.000403335
147,6192.81,0.76195,0.45531,1.01655,0.94251,0.9326,0.96098,0.77852,0.91601,0.40542,1.03486,0.000396262,0.000396262,0.000396262
148,6234.56,0.75987,0.45717,1.01432,0.937,0.93787,0.96104,0.77982,0.91465,0.40218,1.03304,0.000389188,0.000389188,0.000389188
149,6276.56,0.76231,0.45799,1.0131,0.93136,0.941,0.96205,0.77759,0.91562,0.40246,1.03691,0.000382115,0.000382115,0.000382115
150,6318.45,0.76491,0.45311,1.01337,0.93718,0.94218,0.96344,0.78099,0.91452,0.39901,1.03696,0.000375041,0.000375041,0.000375041
151,6360.39,0.75384,0.45211,1.0153,0.93188,0.94404,0.96472,0.78094,0.91173,0.39896,1.0352,0.000367967,0.000367967,0.000367967
152,6402.31,0.75631,0.45323,1.01677,0.93638,0.94572,0.96357,0.78415,0.91236,0.39487,1.03519,0.000360894,0.000360894,0.000360894
153,6444.49,0.75215,0.4546,1.00593,0.93692,0.94032,0.96188,0.78339,0.911,0.40162,1.04039,0.00035382,0.00035382,0.00035382
154,6486.25,0.74459,0.44224,1.00578,0.93351,0.94356,0.96121,0.78022,0.91511,0.40813,1.04371,0.000346747,0.000346747,0.000346747
155,6528.2,0.7251,0.4337,1.00131,0.93864,0.94502,0.96176,0.78161,0.90638,0.40147,1.03521,0.000339673,0.000339673,0.000339673
156,6570.52,0.74084,0.44479,1.00276,0.93314,0.9417,0.96196,0.78313,0.90812,0.40214,1.03385,0.0003326,0.0003326,0.0003326
157,6612.59,0.73119,0.43678,1.00687,0.94022,0.93576,0.96392,0.78456,0.90813,0.39676,1.03503,0.000325526,0.000325526,0.000325526
158,6654.55,0.72782,0.42829,1.00377,0.93215,0.94538,0.9645,0.78567,0.90954,0.39717,1.04064,0.000318453,0.000318453,0.000318453
159,6696.55,0.73915,0.4347,1.00671,0.9437,0.93297,0.9642,0.78552,0.91484,0.39807,1.04435,0.000311379,0.000311379,0.000311379
160,6738.26,0.72226,0.42934,0.99923,0.95009,0.92804,0.96486,0.78223,0.91309,0.39595,1.04398,0.000304306,0.000304306,0.000304306
161,6780.43,0.73533,0.43625,1.00287,0.93019,0.95005,0.96426,0.78309,0.91334,0.39669,1.0417,0.000297232,0.000297232,0.000297232
162,6822.61,0.73929,0.43714,1.0012,0.93285,0.94761,0.96546,0.78328,0.91331,0.39837,1.0415,0.000290158,0.000290158,0.000290158
163,6864.81,0.7134,0.4217,0.99741,0.93155,0.95138,0.96495,0.78383,0.91411,0.39713,1.04131,0.000283085,0.000283085,0.000283085
164,6906.9,0.73289,0.43836,0.99801,0.95807,0.92106,0.96501,0.78521,0.91317,0.39476,1.03962,0.000276011,0.000276011,0.000276011
165,6948.92,0.71302,0.42262,0.9982,0.94104,0.94295,0.96403,0.78437,0.9129,0.39433,1.04036,0.000268938,0.000268938,0.000268938
166,6991.14,0.74098,0.44376,1.00369,0.93524,0.94774,0.96241,0.7811,0.91336,0.39354,1.04096,0.000261864,0.000261864,0.000261864
167,7033.44,0.72018,0.42616,1.00371,0.93714,0.94856,0.96197,0.78235,0.91246,0.39272,1.04275,0.000254791,0.000254791,0.000254791
168,7075.41,0.72101,0.42726,0.99889,0.94435,0.93825,0.96116,0.77989,0.91008,0.39317,1.04369,0.000247717,0.000247717,0.000247717
169,7117.58,0.72321,0.4269,1.00121,0.95507,0.92704,0.96277,0.7828,0.90964,0.39189,1.04377,0.000240644,0.000240644,0.000240644
170,7159.56,0.71351,0.42248,0.99455,0.95589,0.92571,0.96235,0.78246,0.90949,0.39285,1.04026,0.00023357,0.00023357,0.00023357
171,7201.81,0.70877,0.41473,0.99428,0.94232,0.93756,0.96451,0.78494,0.9096,0.39175,1.04455,0.000226497,0.000226497,0.000226497
172,7244.11,0.70397,0.418,0.99563,0.95622,0.92583,0.96358,0.78409,0.90971,0.39436,1.04444,0.000219423,0.000219423,0.000219423
173,7285.91,0.70076,0.41288,0.99377,0.94209,0.93989,0.96345,0.78367,0.91129,0.39541,1.04521,0.000212349,0.000212349,0.000212349
174,7328.34,0.70214,0.416,0.99408,0.93783,0.94409,0.96421,0.78414,0.91154,0.39422,1.04436,0.000205276,0.000205276,0.000205276
175,7370.23,0.70676,0.41678,0.99315,0.95549,0.92514,0.96405,0.78382,0.91376,0.39452,1.04647,0.000198202,0.000198202,0.000198202
176,7412.13,0.69745,0.41469,0.99598,0.95359,0.92705,0.96374,0.78448,0.91367,0.3939,1.04624,0.000191129,0.000191129,0.000191129
177,7454.19,0.71342,0.41934,0.99421,0.9572,0.92733,0.96443,0.78422,0.9134,0.39223,1.04688,0.000184055,0.000184055,0.000184055
178,7495.93,0.69241,0.40958,0.99545,0.93724,0.94877,0.96391,0.7848,0.91283,0.39005,1.04864,0.000176982,0.000176982,0.000176982
179,7537.87,0.7058,0.41064,0.99187,0.93834,0.94898,0.96455,0.78526,0.9128,0.39052,1.04777,0.000169908,0.000169908,0.000169908
180,7580.08,0.68969,0.40892,0.98295,0.9343,0.94946,0.96415,0.78445,0.91255,0.39111,1.04887,0.000162835,0.000162835,0.000162835
181,7622.28,0.68634,0.40727,0.98666,0.93876,0.94483,0.96396,0.78459,0.91075,0.39098,1.04687,0.000155761,0.000155761,0.000155761
182,7664.38,0.70154,0.40782,0.99018,0.94873,0.93244,0.96408,0.78485,0.9101,0.39049,1.04508,0.000148687,0.000148687,0.000148687
183,7706.41,0.68733,0.40482,0.98664,0.9552,0.92882,0.96441,0.78591,0.90898,0.3899,1.04511,0.000141614,0.000141614,0.000141614
184,7748.66,0.68312,0.40401,0.985,0.95177,0.92962,0.96359,0.78579,0.91121,0.38851,1.04608,0.00013454,0.00013454,0.00013454
185,7790.68,0.69122,0.40159,0.98381,0.95334,0.92832,0.96415,0.78487,0.91059,0.38842,1.04563,0.000127467,0.000127467,0.000127467
186,7832.55,0.69085,0.40606,0.98985,0.93559,0.94485,0.96426,0.78411,0.90948,0.3902,1.04445,0.000120393,0.000120393,0.000120393
187,7874.52,0.68851,0.40654,0.98505,0.94354,0.93438,0.96377,0.78484,0.90823,0.3906,1.0432,0.00011332,0.00011332,0.00011332
188,7916.84,0.67248,0.40004,0.9818,0.94244,0.93643,0.96429,0.78487,0.90876,0.39033,1.04384,0.000106246,0.000106246,0.000106246
189,7959.01,0.69013,0.40331,0.99028,0.9493,0.93028,0.96413,0.78471,0.90929,0.39028,1.04439,9.91726e-05,9.91726e-05,9.91726e-05
190,8001.18,0.66151,0.38566,0.97625,0.95754,0.92679,0.96492,0.78523,0.90916,0.39198,1.04352,9.20991e-05,9.20991e-05,9.20991e-05
191,8046.71,0.64356,0.32433,0.94952,0.95961,0.92257,0.96381,0.78533,0.91035,0.38993,1.04386,8.50255e-05,8.50255e-05,8.50255e-05
192,8087.95,0.62038,0.30946,0.93602,0.95675,0.92325,0.96316,0.78412,0.91154,0.39143,1.04537,7.7952e-05,7.7952e-05,7.7952e-05
193,8129.29,0.61528,0.30501,0.93366,0.95561,0.92568,0.9625,0.78336,0.91262,0.39436,1.04608,7.08784e-05,7.08784e-05,7.08784e-05
194,8170.72,0.6231,0.30065,0.93734,0.95755,0.9254,0.96206,0.78096,0.91445,0.39548,1.04784,6.38049e-05,6.38049e-05,6.38049e-05
195,8212.15,0.60701,0.29905,0.93483,0.95531,0.92782,0.96223,0.78186,0.91436,0.3963,1.04689,5.67313e-05,5.67313e-05,5.67313e-05
196,8253.52,0.61483,0.29974,0.93033,0.95589,0.92754,0.96236,0.78301,0.91444,0.39617,1.04788,4.96578e-05,4.96578e-05,4.96578e-05
197,8294.8,0.60823,0.29603,0.93092,0.95153,0.93163,0.96234,0.78405,0.91327,0.39579,1.04734,4.25842e-05,4.25842e-05,4.25842e-05
198,8336.16,0.60537,0.29751,0.93198,0.95166,0.93082,0.96256,0.78404,0.91256,0.39587,1.04696,3.55107e-05,3.55107e-05,3.55107e-05
199,8377.39,0.59601,0.29011,0.92768,0.95057,0.93099,0.9625,0.78457,0.91292,0.39585,1.04788,2.84371e-05,2.84371e-05,2.84371e-05
200,8418.91,0.60386,0.29199,0.93806,0.95313,0.92625,0.96244,0.78505,0.9127,0.39604,1.04817,2.13636e-05,2.13636e-05,2.13636e-05
